algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
GA_Modified,100,100,666.1472354173801,20.00107489991933,4079,improvement_pct=0.0000,medium_balanced,3,instance_003.json
MMR_Original,100,100,623.7658286053123,0.015390200074762106,100,,medium_balanced,4,instance_004.json
MMR_Modified,100,100,620.3572335832067,0.032739799935370684,4,improvement_pct=0.5465,medium_balanced,4,instance_004.json
GA_Original,100,100,896.2500045772962,20.002248000120744,3939,,medium_balanced,4,instance_004.json
GA_Modified,100,100,623.7658286053123,20.002289100084454,4091,improvement_pct=0.0000,medium_balanced,4,instance_004.json
MMR_Original,100,100,648.4772169073203,0.015452299965545535,100,,medium_balanced,5,instance_005.json
MMR_Modified,100,100,647.4943391487933,0.03381559997797012,4,improvement_pct=0.1516,medium_balanced,5,instance_005.json
GA_Original,100,100,942.4206924722214,20.00236909999512,3971,,medium_balanced,5,instance_005.json
GA_Modified,100,100,648.4772169073203,20.002242700196803,4109,improvement_pct=0.0000,medium_balanced,5,instance_005.json
MMR_Original,100,100,620.4089663900895,0.014790999935939908,100,,medium_balanced,6,instance_006.json
MMR_Modified,100,100,617.0650025535815,0.030747600132599473,4,improvement_pct=0.5390,medium_balanced,6,instance_006.json
GA_Original,100,100,867.1937032492692,20.0016978001222,3961,,medium_balanced,6,instance_006.json
GA_Modified,100,100,620.4089663900895,20.002804999938235,4099,improvement_pct=0.0000,medium_balanced,6,instance_006.json
MMR_Original,100,100,605.2272056086069,0.014818000141531229,100,,medium_balanced,7,instance_007.json
MMR_Modified,100,100,599.0656569237069,0.03285009996034205,4,improvement_pct=1.0181,medium_balanced,7,instance_007.json
